"Page","Name","HT","WT","Type","Strength","Attack 1","Attack 2","Attack 3","Attack 4","Bio","Comments"
"102","EXEGGCUTE","0.4M","2.72KG","EGG",4,"BARRAGE","HYPNOSIS","REFLECT","LEECH SEED","OFTEN MISTAKEN FOR EGGS. WHEN DISTURBED, THEY QUICKLY GATHER AND ATTACK IN SWARMS.","Strength: higher than evolved form."
"103","EXEGGUTOR","2.0M","120.2KG","COCONUT",3,"BARRAGE","HYPNOSIS","STOMP","-","LEGEND HAS IT THAT ON RARE OCCASIONS, ONE OF ITS HEADS WILL DROP OFF AND CONTINUE ON AS AN EXEGGCUTE.","Strength: lower than unevolved form."
"104","CUBONE","0.4M","6.35KG","LONELY",4,"BONE CLUB","GROWL","LEER","FOCUS ENERGY","BECAUSE IT NEVER REMOVES ITS SKULL HELMET, NO ONE HAS EVER SEEN THIS POKEMON'S REAL FACE.","Bio: 'POKéMON' → 'POKEMON'."
"105","MAROWAK","1.0M","44.91KG","BONEKEEPER",4,"FOCUS ENERGY","THRASH","BONEMERANG","RAGE","THE BONE IT HOLDS IS ITS KEY WEAPON. IT THROWS THE BONE SKILLFULLY LIKE A BOOMERANG TO KO TARGETS.","-"
"106","HITMONLEE","1.5M","49.9KG","KICKING",4,"DOUBLE KICK","MEDITATE","ROLLING KICK","JUMP KICK","WHEN IN A HURRY, ITS LEGS LENGTHEN PROGRESSIVELY. IT RUNS SMOOTHLY WITH EXTRA LONG, LOPING STRIDES.","-"
"107","HITMONCHAN","1.4M","50.35KG","PUNCHING",4,"COMET PUNCH","AGILITY","FIRE PUNCH","ICE PUNCH","WHILE APPARENTLY DOING NOTHING, IT FIRES PUNCHES IN LIGHTNING FAST VOLLEYS THAT ARE IMPOSSIBLE TO SEE.","-"
"108","LICKITUNG","1.2M","65.32KG","LICKING",5,"WRAP","SUPERSONIC","STOMP","DISABLE","ITS TONGUE CAN BE EXTENDED LIKE A CHAMELEON'S. IT LEAVES A TINGLING SENSATION WHEN IT LICKS ENEMIES.","-"
"109","KOFFING","0.6M","0.91KG","POISON GAS",3,"TACKLE","SMOG","SLUDGE","SMOKESCREEN","BECAUSE IT STORES SEVERAL KINDS OF TOXIC GASES IN ITS BODY, IT IS PRONE TO EXPLODING WITHOUT WARNING.","-"
"110","WEEZING","1.2M","9.53KG","POISON GAS",4,"SMOKESCREEN","SELFDESTRUCT","HAZE","EXPLOSION","WHERE TWO KINDS OF POISON GASES MEET, 2 KOFFINGS CAN FUSE INTO A WEEZING OVER MANY YEARS.","-"
"111","RHYHORN","1.0M","115.21KG","SPIKES",6,"HORN ATTACK","STOMP","TAIL WHIP","FURY ATTACK","ITS MASSIVE BONES ARE 1000 TIMES HARDER THAN HUMAN BONES. IT CAN EASILY KNOCK A TRAILER FLYING.","-"
"112","RHYDON","1.9M","120.2KG","DRILL",7,"FURY ATTACK","HORN DRILL","LEER","TAKE DOWN","PROTECTED BY AN ARMOR-LIKE HIDE, IT IS CAPABLE OF LIVING IN MOLTEN LAVA OF 3,600 DEGREES.","-"
"113","CHANSEY","1.1M","34.47KG","EGG",4,"POUND","DOUBLESLAP","SING","GROWL","A RARE AND ELUSIVE POKEMON THAT IS SAID TO BRING HAPPINESS TO THOSE WHO MANAGE TO GET IT.","Bio: 'POKéMON' → 'POKEMON'."
"114","TANGELA","1.0M","34.93KG","VINE",3,"CONSTRICT","BIND","ABSORB","POISON STING","THE WHOLE BODY IS SWATHED WITH WIDE VINES THAT ARE SIMILAR TO SEA-WEED. ITS VINES SHAKE AS IT WALKS.","Bio: 'SEA-WEED' incorrectly copies R/B hyphenation (due to line break)."
"115","KANGASKHAN","2.2M","79.83KG","PARENT",7,"COMET PUNCH","RAGE","BITE","TAIL WHIP","THE INFANT RARELY VENTURES OUT OF ITS MOTHER'S PROTECTIVE POUCH UNTIL IT IS 3 YEARS OLD.","-"
"116","HORSEA","0.4M","8.16KG","DRAGON",3,"BUBBLE","SMOKESCREEN","LEER","WATER GUN","KNOWN TO SHOOT DOWN FLYING BUGS WITH PRECISION BLASTS OF INK FROM THE SURFACE OF THE WATER.","-"
"117","SEADRA","1.2M","24.95KG","DRAGON",4,"LEER","WATER GUN","AGILITY","HYDRO PUMP","CAPABLE OF SWIM-MING BACKWARDS BY RAPIDLY FLAPPING ITS WING-LIKE PECTORAL FINS AND STOUT TAIL.","Bio: 'SWIM-MING' incorrectly copies R/B hyphenation (due to line break)."
"118","GOLDEEN","0.6M","14.97KG","GOLDFISH",2,"PECK","TAIL WHIP","SUPERSONIC","HORN ATTACK","ITS TAIL FIN BILLOWS LIKE AN ELEGANT BALLROOM DRESS, GIVING IT THE NICKNAME OF THE WATER QUEEN.","-"
"119","SEAKING","1.3M","39.01KG","GOLDFISH",2,"FURY ATTACK","WATERFALL","HORN DRILL","AGILITY","IN THE AUTUMN SPAWNING SEASON, THEY CAN BE SEEN SWIMMING POWERFULLY UP RIVERS AND CREEKS.","-"
"120","STARYU","0.8M","34.47KG","STARSHAPE",6,"TACKLE","WATER GUN","HARDEN","RECOVER","AN ENIGMATIC POKEMON THAT CAN EFFORTLESSLY REGENERATE ANY APPENDAGE IT LOSES IN BATTLE.","Bio: 'POKéMON' → 'POKEMON'."
"121","STARMIE","1.1M","79.83KG","MYSTERIOUS",8,"TACKLE","WATER GUN","HARDEN","-","ITS CENTRAL CORE GLOWS WITH THE SEVEN COLORS OF THE RAINBOW. SOME PEOPLE VALUE THE CORE AS A GEM.","-"
"122","MR. MIME","1.3M","54.43KG","BARRIER",5,"CONFUSION","BARRIER","LIGHT SCREEN","DOUBLESLAP","IF INTERRUPTED WHILE IT IS MIMING, IT WILL SLAP AROUND THE ENEMY WITH ITS BROAD HANDS.","Bio: 'offender' → 'ENEMY'."
"123","SCYTHER","1.5M","55.79KG","MANTIS",6,"QUICK ATTACK","LEER","FOCUS ENERGY","DOUBLE TEAM","WITH NINJA-LIKE AGILITY AND SPEED, IT CAN CREATE THE ILLUSION THAT THERE IS MORE THAN ONE.","-"
"124","JYNX","1.4M","40.82KG","HUMANSHAPE",3,"POUND","LOVELY KISS","SING","DOUBLESLAP","IT SEDUCTIVELY WIGGLES ITS HIPS AS IT WALKS. IT CAN CAUSE PEOPLE TO DANCE IN UNISON WITH IT.","-"
"125","ELECTABUZZ","1.1M","29.94KG","ELECTRIC",7,"QUICK ATTACK","LEER","THUNDERSHOCK","SCREECH","NORMALLY FOUND NEAR POWER PLANTS, THEY CAN WANDER AWAY AND CAUSE MAJOR BLACKOUTS IN CITIES.","-"
"126","MAGMAR","1.3M","44.45KG","SPITFIRE",4,"EMBER","LEER","CONFUSE RAY","FIRE PUNCH","ITS BODY ALWAYS BURNS WITH AN ORANGE GLOW THAT ENABLES IT TO HIDE PERFECTLY AMONG FLAMES.","-"
"127","PINSIR","1.5M","54.89KG","STAGBEETLE",7,"VICEGRIP","SEISMIC TOSS","GUILLOTINE","FOCUS ENERGY","IF IT FAILS TO CRUSH THE VICTIM IN ITS PINCERS, IT WILL SWING IT AROUND AND TOSS IT HARD.","-"
"128","TAUROS","1.4M","88.45KG","WILD BULL",8,"TACKLE","STOMP","LEER","TAIL WHIP","WHEN IT TARGETS AN ENEMY, IT CHARGES FURIOUSLY WHILE WHIPPING ITS BODY WITH ITS LONG TAILS.","-"
"129","MAGIKARP","0.9M","9.98KG","FISH",3,"SPLASH","TACKLE","-","-","IN THE DISTANT PAST, IT WAS SOMEWHAT STRONGER THAN THE HORRIBLY WEAK DESCENDANTS THAT EXIST TODAY.","-"
"130","GYARADOS","6.5M","234.96KG","ATROCIOUS",9,"BITE","DRAGON RAGE","LEER","HYDRO PUMP","RARELY SEEN IN THE WILD. HUGE AND VICIOUS, IT IS CAPABLE OF DESTROYING ENTIRE CITIES IN A RAGE.","-"
"131","LAPRAS","2.5M","220KG","TRANSPORT",6,"WATER GUN","GROWL","SING","MIST","A POKEMON THAT HAS BEEN OVER-HUNTED ALMOST TO EXTINCTION. IT CAN FERRY PEOPLE ACROSS WATER.","Bio: 'POKéMON' → 'POKEMON'; 'OVER-HUNTED' incorrectly copies R/B hyphenation (due to line break); 'across the water' → 'ACROSS WATER'."
"132","DITTO","0.3M","4.08KG","TRANSFORM",6,"TRANSFORM","-","-","-","CAPABLE OF COPYING AN ENEMY'S GENETIC CODE TO INSTANTLY TRANSFORM ITSELF INTO A DUPLICATE OF THE ENEMY.","-"
"133","EEVEE","0.3M","6.35KG","EVOLUTION",4,"TACKLE","SAND-ATTACK","QUICK ATTACK","TAIL WHIP","ITS GENETIC CODE IS IRREGULAR. IT MAY MUTATE IF IT IS EXPOSED TO RADIATION FROM ELEMENTAL STONES.","Bio: 'element' → 'ELEMENTAL'."
"134","VAPOREON","1.0M","29.03KG","BUBBLE JET",4,"WATER GUN","TAIL WHIP","MIST","HAZE","LIVES CLOSE TO WATER. ITS LONG TAIL IS RIDGED WITH A FIN WHICH IS OFTEN MISTAKEN FOR A MERMAID'S.","-"
"135","JOLTEON","0.8M","24.49KG","LIGHTNING",5,"THUNDERSHOCK","THUNDERWAVE","PIN MISSILE","THUNDER","IT ACCUMULATES NEGATIVE IONS IN THE ATMOSPHERE TO BLAST OUT 10,000-VOLT LIGHTNING BOLTS.","Attack: 'THUNDER WAVE' → 'THUNDERWAVE'. Bio: '10000' → '10,000'."
"136","FLAREON","0.6M","24.95KG","FLAME",4,"EMBER","BITE","FIRE SPIN","FLAMETHROWER","WHEN STORING THERMAL ENERGY IN ITS BODY, ITS TEMPERATURE COULD SOAR TO OVER 1600 DEGREES.","-"
"137","PORYGON","0.8M","36.29KG","VIRTUAL",4,"TACKLE","SHARPEN","COVERSION","PSYBEAM","A POKEMON THAT CONSISTS ENTIRELY OF PROGRAMMING CODE. CAPABLE OF MOVING FREELY IN CYBERSPACE.","Attack: 'CONVERSION' → 'COVERSION'. Bio: 'POKéMON' → 'POKEMON'."
"138","OMANYTE","0.4M","7.71KG","SPIRAL",3,"WATER GUN","WITHDRAW","HORN ATTACK","LEER","ALTHOUGH LONG EXTINCT, IN RARE CASES, IT CAN BE GENETICALLY RESURRECTED FROM FOSSILS.","Strength: higher than evolved form."
"139","OMASTAR","1.0M","34.93KG","SPIRAL",2,"HORN ATTACK","LEER","SPIKE CANNON","HYDRO PUMP","A PREHISTORIC POKEMON THAT DIED OUT WHEN ITS HEAVY SHELL MADE IT IMPOSSIBLE TO CATCH PREY.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
"140","KABUTO","0.5M","11.34KG","SHELLFISH",4,"SCRATCH","HARDEN","ABSORB","SLASH","A POKEMON THAT WAS RESURRECTED FROM A FOSSIL FOUND IN WHAT WAS ONCE THE OCEAN FLOOR EONS AGO.","Bio: 'POKéMON' → 'POKEMON'. Strength: higher than evolved form."
"141","KABUTOPS","1.3M","40.37KG","SHELLFISH",3,"ABSORB","SLASH","LEER","HYDRO PUMP","ITS SLEEK SHAPE IS PERFECT FOR SWIMMING. IT SLASHES PREY WITH ITS CLAWS AND DRAINS THE BODY FLUIDS.","Strength: lower than unevolved form."
"142","AERODACTYL","1.8M","58.97KG","FOSSIL",3,"WING ATTACK","AGILITY","SUPERSONIC","BITE","A FEROCIOUS PREHISTORIC POKEMON THAT GOES FOR THE ENEMY'S THROAT WITH ITS SERRATED SAW-LIKE FANGS.","Bio: 'ferocious, prehistoric' → 'FEROCIOUS PREHISTORIC'; 'POKéMON' → 'POKEMON'."
"143","SNORLAX","2.1M","459.95KG","SLEEPING",2,"HEADBUTT","AMNESIA","REST","BODY SLAM","VERY LAZY. JUST EATS AND SLEEPS. AS ITS ROTUND BULK BUILDS, IT BECOMES STEADILY MORE SLOTHFUL.","-"
"144","ARTICUNO","1.7M","55.34KG","FREEZE",6,"PECK","ICE BEAM","BLIZZARD","AGILITY","A LEGENDARY BIRD POKEMON THAT IS SAID TO APPEAR TO DOOMED PEOPLE WHO ARE LOST IN ICY MOUNTAINS.","Bio: 'POKéMON' → 'POKEMON'."
"145","ZAPDOS","1.6M","52.62KG","ELECTRIC",7,"THUNDERSHOCK","DRILL PECK","THUNDER","AGILITY","A LEGENDARY BIRD POKEMON THAT IS SAID TO APPEAR FROM CLOUDS WHILE DROPPING ENORMOUS LIGHTNING BOLTS.","Bio: 'POKéMON' → 'POKEMON'."
"146","MOLTRES","2.0M","59.88KG","FLAME",9,"PECK","FIRE SPIN","LEER","AGILITY","KNOWN AS THE LEGENDARY BIRD OF FIRE. EVERY FLAP OF ITS WINGS CREATES A DAZZLING FLASH OF FLAMES.","-"
"147","DRATINI","1.8M","3.18KG","DRAGON",6,"WRAP","LEER","THUNDER WAVE","AGILITY","LONG CONSIDERED A MYTHICAL POKEMON UNTIL RECENTLY WHEN A SMALL COLONY WAS FOUND LIVING UNDERWATER.","Bio: 'POKéMON' → 'POKEMON'."
"148","DRAGONAIR","4.0M","16.33KG","DRAGON",6,"THUNDER WAVE","AGILITY","SLAM","DRAGON RAGE","A MYSTICAL POKEMON THAT EXUDES A GENTLE AURA. HAS THE ABILITY TO CHANGE CLIMATE CONDITIONS.","Bio: 'POKéMON' → 'POKEMON'. Strength: higher than evolved form."
"149","DRAGONITE","2.2M","210.02KG","DRAGON",4,"QUICK ATTACK","SLAM","DRAGON RAGE","HYPER BEAM","AN EXTREMELY RARELY SEEN MARINE POKEMON. ITS INTELLIGENCE IS SAID TO MATCH THAT OF HUMANS.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
"150","MEWTWO","2.0M","122.02KG","GENETIC",8,"CONFUSION","DISABLE","SWIFT","BARRIER","IT WAS CREATED BY A SCIENTIST AFTER YEARS OF HORRIFIC GENE SPLICING AND DNA ENGINEERING EXPERIMENTS.","-"
